rfid_tag,goods_category,origin,destination,package_count,vehicle_id,driver_id
RFID-001,Industrial,Malabon,Paco,3,VH-001,DR-001
RFID-002,Deep Freeze,City of Parañaque,Tatalon,10,VH-002,DR-002
RFID-003,Chill/Refrigerated,Baclaran,Pasay City,35,VH-003,DR-003
RFID-004,Deep Freeze,Bacoor,Bagong Pag-Asa,8,VH-004,DR-004
RFID-005,Dry Goods,Bel-Air,Pansol,4,VH-005,DR-005
RFID-006,Chill/Refrigerated,Pandacan,San Andres,5,VH-006,DR-006
RFID-007,Frozen,Mandaluyong City,San Pedro,32,VH-007,DR-007
RFID-008,Deep Freeze,Bagong Silangan,Tatalon,27,VH-008,DR-008
RFID-009,Clothing,Upper Bicutan,Marikina Heights,10,VH-009,DR-009
RFID-010,Frozen,Central Signal Village,San Juan,14,VH-010,DR-010
RFID-011,Pharma,Bagong Silangan,City of Parañaque,15,VH-011,DR-011
RFID-012,Dry Goods,Caloocan City,Canagatan,32,VH-012,DR-012
RFID-013,Cool-Chain,Western Bicutan,General Mariano Alvarez,2,VH-013,DR-013
RFID-014,Dry Goods,Banco Filipino International Village,Rosario,32,VH-014,DR-014
RFID-015,Chill/Refrigerated,San Isidro,General Mariano Alvarez,48,VH-015,DR-015
RFID-016,Industrial,Bacoor,Karuhatan,36,VH-016,DR-016
RFID-017,Cool-Chain,Pasig City,Malabon,49,VH-017,DR-017
RFID-018,Chill/Refrigerated,Sampaloc,Quezon City,32,VH-018,DR-018
RFID-019,Chill/Refrigerated,Bagong Pag-Asa,Quiapo,33,VH-019,DR-019
RFID-020,Pharma,Las Piñas City,Taguig City,40,VH-020,DR-020
RFID-021,Industrial,Poblacion,Lower Bicutan,19,VH-021,DR-021
RFID-022,Industrial,General Mariano Alvarez,Western Bicutan,44,VH-022,DR-022
RFID-023,Cool-Chain,Marikina Heights,Baclaran,43,VH-023,DR-023
RFID-024,Chill/Refrigerated,Navotas,Banco Filipino International Village,11,VH-024,DR-024
RFID-025,Chill/Refrigerated,Taguig City,West Rembo,24,VH-025,DR-025
RFID-026,Clothing,Payatas,Sucat,20,VH-026,DR-026
RFID-027,Industrial,Banco Filipino International Village,Payatas,8,VH-027,DR-027
RFID-028,Chill/Refrigerated,Putatan,Bagong Pag-Asa,26,VH-028,DR-028
RFID-029,Deep Freeze,Karuhatan,Zamboanga City,25,VH-029,DR-029
RFID-030,Frozen,Rosario,Davao,17,VH-030,DR-030
